gmt_create,predict_type,predict_status,exec_time_seconds,groupId,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,num_lora,source_row,source_date,task_pool_id,task_index,task_uid
2024-12-08 00:37:00,TXT_2_IMG,SUCCEED,21.0,G4210,53.0,26.0,1.0,30.0,M0002,0,26568,2024-12-08,5,0,pool05-task000
2024-12-08 00:38:06,TXT_2_IMG,SUCCEED,13.0,G4210,57.0,26.0,1.0,30.0,M0002,0,26569,2024-12-08,5,1,pool05-task001
2024-12-08 00:49:59,IMG_2_IMG,SUCCEED,31.0,G4211,12.0,26.0,1.0,30.0,M0004,0,26571,2024-12-08,5,2,pool05-task002
2024-12-08 02:38:57,TXT_2_IMG,SUCCEED,9.0,G4215,79.0,26.0,1.0,30.0,M0002,0,26575,2024-12-08,5,3,pool05-task003
2024-12-08 02:39:20,TXT_2_IMG,SUCCEED,20.0,G4215,65.0,26.0,1.0,30.0,M0004,0,26576,2024-12-08,5,4,pool05-task004
2024-12-08 02:41:14,TXT_2_IMG,SUCCEED,29.0,G2570,17.0,26.0,1.0,30.0,M0004,0,26577,2024-12-08,5,5,pool05-task005
2024-12-08 02:45:08,TXT_2_IMG,SUCCEED,18.0,G2513,53.0,26.0,2.0,30.0,M0002,0,26581,2024-12-08,5,6,pool05-task006
2024-12-08 02:47:49,TXT_2_IMG,SUCCEED,44.0,G2570,48.0,26.0,8.0,100.0,M0004,2,26585,2024-12-08,5,7,pool05-task007
2024-12-08 02:48:10,TXT_2_IMG,SUCCEED,36.0,G4215,49.0,26.0,1.0,40.0,M0001,0,26586,2024-12-08,5,8,pool05-task008
2024-12-08 02:50:13,TXT_2_IMG,SUCCEED,18.0,G4216,87.0,26.0,1.0,30.0,M0002,0,26591,2024-12-08,5,9,pool05-task009
2024-12-08 02:56:40,TXT_2_IMG,SUCCEED,29.0,G2672,83.0,26.0,1.0,30.0,M0002,0,26594,2024-12-08,5,10,pool05-task010
2024-12-08 02:58:58,TXT_2_IMG,SUCCEED,15.0,G4216,226.0,26.0,1.0,30.0,M0004,0,26599,2024-12-08,5,11,pool05-task011
2024-12-08 03:09:54,TXT_2_IMG,SUCCEED,19.0,G2570,255.0,26.0,1.0,30.0,M0012,1,26603,2024-12-08,5,12,pool05-task012
2024-12-08 03:11:24,TXT_2_IMG,SUCCEED,14.0,G2570,163.0,26.0,1.0,30.0,M0012,0,26604,2024-12-08,5,13,pool05-task013
2024-12-08 03:12:16,TXT_2_IMG,SUCCEED,22.0,G4217,53.0,26.0,1.0,30.0,M0002,0,26605,2024-12-08,5,14,pool05-task014
2024-12-08 03:45:08,TXT_2_IMG,SUCCEED,38.0,G4219,263.0,26.0,1.0,30.0,M0002,0,26608,2024-12-08,5,15,pool05-task015
2024-12-08 03:46:00,TXT_2_IMG,SUCCEED,13.0,G4219,47.0,26.0,1.0,30.0,M0002,0,26611,2024-12-08,5,16,pool05-task016
2024-12-08 03:55:21,TXT_2_IMG,SUCCEED,14.0,G4221,52.0,26.0,1.0,30.0,M0002,0,26616,2024-12-08,5,17,pool05-task017
2024-12-08 04:29:45,TXT_2_IMG,SUCCEED,20.0,G4223,49.0,26.0,1.0,30.0,M0002,0,26620,2024-12-08,5,18,pool05-task018
2024-12-08 04:31:49,TXT_2_IMG,SUCCEED,19.0,G4224,72.0,26.0,1.0,30.0,M0005,0,26621,2024-12-08,5,19,pool05-task019
2024-12-08 04:34:34,TXT_2_IMG,SUCCEED,53.0,G4224,60.0,26.0,1.0,30.0,M0005,0,26623,2024-12-08,5,20,pool05-task020
2024-12-08 04:37:33,TXT_2_IMG,SUCCEED,12.0,G4208,4.0,26.0,1.0,30.0,M0004,0,26626,2024-12-08,5,21,pool05-task021
2024-12-08 04:39:25,TXT_2_IMG,SUCCEED,18.0,G4208,73.0,26.0,1.0,30.0,M0000,0,26628,2024-12-08,5,22,pool05-task022
2024-12-08 04:41:45,TXT_2_IMG,SUCCEED,11.0,G4208,44.0,26.0,1.0,30.0,M0002,0,26631,2024-12-08,5,23,pool05-task023
