config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits,strategy_feasible_estimated,quantized_oracle_objective,quantized_oracle_gap_percent,runtime_seconds,updates,changes,swaps,full_single_flip_pass,signaling_payload_bytes,signaling_header_bytes,signaling_total_bytes,n_nodes,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task,raw_strategy_quantized_feasible,raw_strategy_quantized_objective,quantized_projected_strategy_bits,quantized_projection_change_rate,projected_strategy_quantized_objective
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,wa_mcbr,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001,1,228.63791232671983,0.0046790338869065855,0.0424595830263569,896,77,0,True,34048,71680,105728,100,18,0.18,228.53871516173336,228.53871516173336,0.0,16.990291262135926,16.990291262135926,63.15789473684211,60.0,0.2690129449838188,4.452500000000001,4.452500000000001,13.0,0.3425,0,0,0,0,4158.941310466834,41.58941310466834,7218.980894897795,495.8472610701764,54.494160988618155,112.00332042058665,1,228.6486103721159,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001,0.0,228.6486103721159
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,wa_mcbr_swap,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001,1,228.63791232671983,0.0046790338869065855,0.0577078750357031,896,77,0,True,34048,71680,105728,100,18,0.18,228.53871516173336,228.53871516173336,0.0,16.990291262135926,16.990291262135926,63.15789473684211,60.0,0.2690129449838188,4.452500000000001,4.452500000000001,13.0,0.3425,0,0,0,0,4158.941310466834,41.58941310466834,7218.980894897795,495.8472610701764,54.494160988618155,112.00332042058665,1,228.6486103721159,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001,0.0,228.6486103721159
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,capacity_greedy,0001000001000000001000000000000000010000000000001010110000000000001000110000010000000000001110000000,1,228.63791232671983,0.7248205051996275,0.0149397919885814,0,0,0,,0,0,0,100,15,0.15,230.2230458159404,230.2230458159404,0.0,14.077669902912618,14.077669902912618,63.15789473684211,60.0,0.2228964401294497,3.721249999999999,3.721249999999999,13.0,0.2862499999999999,0,0,0,0,4110.737738758204,41.107377387582034,6992.570163010198,784.1418065073431,91.34420067981765,91.7074440395627,1,230.29512679792424,0001000001000000001000000000000000010000000000001010110000000000001000110000010000000000001110000000,0.0,230.29512679792424
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,lagrangian_relaxation,0000000001000000001000000000000000010000000000000010100000000000000000001000010000000000000110000000,1,228.63791232671983,1.6234305813647638,0.0233992090215906,300,0,0,False,0,0,0,100,9,0.09,232.3265758458647,232.3265758458647,0.0,8.009708737864077,8.009708737864077,63.15789473684211,60.0,0.1268203883495145,2.1775,2.1775,13.0,0.1674999999999999,0,0,0,0,4228.481380744087,42.28481380744087,7546.448275928831,797.1768118864079,94.25288098123724,56.309937456567056,1,232.34969011602576,0000000001000000001000000000000000010000000000000010100000000000000000001000010000000000000110000000,0.0,232.34969011602576
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,legacy_count_br,1111110101000000001000000000000001010000000100001110010000000000011000110000001000000000001101010001,1,228.63791232671983,1.2983446394293154,0.0037918341113254,549,61,0,False,0,0,0,100,26,0.26,231.30802817858097,231.30802817858097,0.0,24.75728155339806,24.75728155339806,63.15789473684211,60.0,0.3919902912621359,6.4025,6.4025,13.0,0.4925,0,0,0,0,4055.4243409240994,40.55424340924099,6705.033887444836,658.2200831394023,70.53413249371202,181.1776447105788,1,231.6064204051169,1111110101000000001000000000000001010000000100001110010000000000011000110000001000000000001101010001,0.0,231.6064204051169
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,random_feasible,1111101001010100000101000011101010000110010110100100010001111000110011011001110011001011110101101100,1,228.63791232671983,57.1890210208765,4.270800855010748e-05,0,0,0,,0,0,0,100,49,0.49,498.7570534327302,498.7570534327302,0.0,48.05825242718447,48.05825242718447,63.15789473684211,60.0,0.7609223300970874,13.0,13.0,13.0,1.0,0,0,0,0,3908.1680748088374,39.081680748088374,4799.222189782086,5391.826451604784,596.3712200425803,815.6852791878175,0,inf,1111101001010100000101000011100000000110010110100100010001110000110010011001010001000011110101101100,0.07,359.3936960689408
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,228.63791232671983,6.509020101624232,0.0,0,0,0,,0,0,0,100,0,0.0,243.52,243.52,0.0,0.0,0.0,63.15789473684211,60.0,0.0,0.0,0.0,13.0,0.0,0,0,0,0,4579.199999999999,45.79199999999999,9158.399999999998,0.0,0.0,0.0,1,243.52,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,243.52
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0,228.63791232671983,18.571108133084657,0.0,0,0,0,,0,0,0,100,100,1.0,inf,inf,0.0,99.99999999999996,99.99999999999996,63.15789473684211,60.0,1.5833333333333328,26.812499999999993,26.812499999999993,13.0,2.0624999999999996,1,1,1,1,inf,inf,122.23048136173882,10540.485602391183,1222.3048136173882,inf,0,inf,1111110111101011001000000100000001010001100110001110011100010000011010110001001100010000011101110001,0.56,271.09850625814227
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,qdp_oracle,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001100000001,1,228.63791232671983,1.2430882149496646e-14,8.79632295796182,0,0,0,,0,0,0,100,17,0.17,228.54203053411447,228.54203053411447,0.0,16.019417475728158,16.019417475728158,63.15789473684211,60.0,0.2536407766990291,4.20875,4.20875,13.0,0.32375,0,0,0,0,4174.619656424824,41.74619656424824,7294.487565125588,472.6674989255288,52.209713269832854,104.95934959349594,1,228.63791232671986,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001100000001,0.0,228.63791232671986
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,wa_mcbr,0001010001000000001000000000000000010000000000001010010000000000001000110000001000000000001100000001,1,230.20713178459317,0.01525767187074079,0.0229732500156387,462,27,0,True,17556,36960,54516,100,15,0.15,230.05564188002108,230.05564188002108,0.0,14.07766990291262,14.07766990291262,37.89473684210527,36.0,0.3714940668824164,3.721249999999999,3.721249999999999,5.0,0.7442499999999999,0,0,0,0,4212.070536867023,42.12070536867023,7467.110643832785,423.60040530923806,47.37625551904277,167.76871915897874,1,230.2422560333839,0001010001000000001000000000000000010000000000001010010000000000001000110000001000000000001100000001,0.0,230.2422560333839
