config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,quantized_objective,continuous_objective_of_quantized_strategy,k_offload,delta_q,delta_v_gb,states_created,states_pruned,pruning_rate,peak_live_states,peak_python_memory_mb,runtime_seconds,claim
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,228.63791232671983,228.54203053411447,17,0.1,0.1,294111,178306,0.6062541013426903,473,0.2185802459716797,8.79632295796182,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,230.20713178459317,230.02051763123038,15,0.1,0.1,41466,30491,0.7353253267737423,202,0.04618644714355469,1.230441665975377,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,highly_constrained,0.3,2.0,20261729,233.95784667482812,233.86848808335432,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.021081924438476562,0.21620729204732925,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,abundant,1.0,13.0,20261730,229.69112395223078,229.59898389142276,17,0.1,0.1,269461,164135,0.6091233981912039,422,0.10325813293457031,7.0504170410567895,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,moderate,0.6,5.0,20261730,231.084046591122,230.90864468499575,15,0.1,0.1,33402,25552,0.7649841326866654,152,0.03812599182128906,0.9946722920285538,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,20270826,highly_constrained,0.3,2.0,20261730,235.25174874961692,235.15689506205348,7,0.1,0.1,5829,5108,0.8763081145994167,71,0.020972251892089844,0.18428220797795802,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,20270923,abundant,1.0,13.0,20261731,229.94663714693945,229.85881491547156,17,0.1,0.1,299378,174624,0.5832893532590905,406,0.11026573181152344,7.35140283301007,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,20270923,moderate,0.6,5.0,20261731,231.14468497362304,231.00655669777873,14,0.1,0.1,39891,27410,0.6871224085633351,225,0.05167961120605469,1.1221854579634964,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,2,20270923,highly_constrained,0.3,2.0,20261731,233.865195519421,233.7817855382075,7,0.1,0.1,5337,4368,0.8184373243395165,70,0.020616531372070312,0.18486404209397733,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,20271020,abundant,1.0,13.0,20261732,229.67582941747088,229.5997255840793,16,0.1,0.1,351357,199963,0.5691163118992933,513,0.14377784729003906,9.03788533306215,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,20271020,moderate,0.6,5.0,20261732,230.8217710772304,230.69058444789286,14,0.1,0.1,47990,33452,0.6970618878933111,266,0.05495643615722656,1.411298666964285,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,3,20271020,highly_constrained,0.3,2.0,20261732,234.21090764946027,234.12749766824675,7,0.1,0.1,6681,5368,0.8034725340517886,93,0.025674819946289062,0.23893087508622557,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,4,20271117,abundant,1.0,13.0,20261733,230.7601729747543,230.7008541717921,15,0.1,0.1,286761,170587,0.5948751747971307,386,0.10142707824707031,7.050950708100572,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,4,20271117,moderate,0.6,5.0,20261733,231.75158290545323,231.62861598806515,14,0.1,0.1,36223,25783,0.7117853297628578,148,0.03983497619628906,1.0272302500670776,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,4,20271117,highly_constrained,0.3,2.0,20261733,234.74145973051384,234.62716747776972,8,0.1,0.1,5064,4210,0.8313586097946287,58,0.018571853637695312,0.1772159580141306,quantized_global_optimum_not_continuous_global_optimum
