config_hash,task_pool_id,wireless_index,wireless_seed,resource_scenario,workload_capacity_fraction,memory_available_gb_config,algorithm_seed,algorithm,strategy_bits
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,wa_mcbr,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,wa_mcbr_swap,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001101000001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,capacity_greedy,0001000001000000001000000000000000010000000000001010110000000000001000110000010000000000001110000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,lagrangian_relaxation,0000000001000000001000000000000000010000000000000010100000000000000000001000010000000000000110000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,legacy_count_br,1111110101000000001000000000000001010000000100001110010000000000011000110000001000000000001101010001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,random_feasible,1111101001010100000101000011101010000110010110100100010001111000110011011001110011001011110101101100
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,all_local,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,all_offload,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,abundant,1.0,13.0,20261729,qdp_oracle,0011010001000000001000000000000001010000000000001010010000000000001000110000001000000000001100000001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,wa_mcbr,0001010001000000001000000000000000010000000000001010010000000000001000110000001000000000001100000001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,wa_mcbr_swap,0001010001000000001000000000000001010000000000001010010000000000001000110000000000000000001100000001
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,capacity_greedy,0000000001000000001000000000000000010000000000000010110000000000001000110000010000000000001110000000
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,moderate,0.6,5.0,20261729,lagrangian_relaxation,0011010101000000001000000000000001010000000100001010010000000000001000110000001000000000001101000001
