config_hash,n_nodes,wireless_index,wireless_seed,algorithm,updates,changes,runtime_seconds,signaling_total_bytes,full_single_flip_pass,k_offload,offload_rate,decision_objective,public_objective_J,barrier_penalty,estimated_workload,true_workload,workload_capacity,workload_limit,workload_utilization,estimated_memory_gb,true_memory_gb,memory_available_gb,memory_utilization,estimated_workload_violation,estimated_memory_violation,true_workload_violation,true_memory_violation,total_end_to_end_delay_seconds,mean_end_to_end_delay_seconds,total_device_energy_j,mean_tx_time_ms_offloaded,mean_tx_energy_mj_offloaded,queue_delay_ms_per_offloaded_task
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,0,21460729,wa_mcbr,171,20,0.008556917076930404,20178,True,9,0.3,70.32592416101392,70.32592416101392,0.0,8.980582524271844,8.980582524271844,60.0,57.0,0.14967637540453074,2.275,2.275,13.0,0.175,0,0,0,0,1125.158307846501,37.5052769282167,1778.9397489095888,598.0284963180455,59.97210106542797,64.00570884871551
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,0,21460729,legacy_count_br,90,16,0.0006787499878555536,0,False,11,0.36666666666666664,70.67144170877907,70.67144170877907,0.0,10.922330097087377,10.922330097087377,60.0,57.0,0.18203883495145629,2.7625,2.7625,13.0,0.21250000000000002,0,0,0,0,1107.3006476931012,36.91002158977004,1689.1290217920305,660.7845353588018,66.27470836638821,75.6379821958457
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,1,21460826,wa_mcbr,130,17,0.00712066690903157,15340,True,14,0.4666666666666667,66.92996947828632,66.92996947828632,0.0,12.864077669902912,12.864077669902912,60.0,57.0,0.21440129449838186,3.3637499999999996,3.3637499999999996,13.0,0.25875,0,0,0,0,1035.2020712178546,34.50673570726182,1361.6382666914826,540.4907424258221,59.87619224875252,88.22863027806385
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,1,21460826,legacy_count_br,60,10,0.0005099578993394971,0,False,15,0.5,67.82020014736302,67.82020014736302,0.0,13.834951456310678,13.834951456310678,60.0,57.0,0.23058252427184464,3.6074999999999995,3.6074999999999995,13.0,0.27749999999999997,0,0,0,0,1021.2657175185861,34.04219058395287,1289.831086574144,629.4600322590568,68.73910494293037,94.92113564668769
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,2,21460923,wa_mcbr,225,31,0.010988750029355288,26550,True,11,0.36666666666666664,68.30422394323341,68.30422394323341,0.0,10.436893203883495,10.436893203883495,60.0,57.0,0.1739482200647249,2.6325,2.6325,13.0,0.20249999999999999,0,0,0,0,1097.3388598046934,36.57796199348978,1652.9350498953465,485.4336978534413,48.64089957698015,72.64446620959842
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,2,21460923,legacy_count_br,96,17,0.0008124590385705233,0,False,13,0.43333333333333335,69.87227635868048,69.87227635868048,0.0,12.621359223300969,12.621359223300969,60.0,57.0,0.21035598705501615,3.20125,3.20125,13.0,0.24625,0,0,0,0,1101.9817426145037,36.73272475381679,1663.9277031414333,558.1510712291542,55.97716472563666,86.5983606557377
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,3,21461020,wa_mcbr,203,30,0.009513790952041745,23954,True,11,0.36666666666666664,68.81350676726917,68.81350676726917,0.0,10.436893203883496,10.436893203883496,60.0,57.0,0.17394822006472493,2.71375,2.71375,13.0,0.20875000000000002,0,0,0,0,1088.5216854029297,36.28405618009766,1609.8546239003304,556.5996613294644,59.51126366639152,72.64446620959843
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,3,21461020,legacy_count_br,94,14,0.0006745830178260803,0,False,15,0.5,69.99388937983083,69.99388937983083,0.0,14.320388349514563,14.320388349514563,60.0,57.0,0.23867313915857605,3.6887499999999998,3.6887499999999998,13.0,0.28375,0,0,0,0,1044.1199155415707,34.80399718471902,1387.119225216602,709.6202992998872,74.61501444012548,98.3740701381509
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,4,21461117,wa_mcbr,230,20,0.01155275001656264,27140,True,11,0.36666666666666664,68.52159446910923,68.52159446910923,0.0,10.679611650485436,10.679611650485436,60.0,57.0,0.17799352750809058,2.795,2.795,13.0,0.215,0,0,0,0,1079.1716420860462,35.97238806953487,1566.6656074411228,577.8336041001124,60.50976737479516,74.13385826771653
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,30,4,21461117,legacy_count_br,107,14,0.0007834580028429627,0,False,13,0.43333333333333335,69.81892854383149,69.81892854383149,0.0,12.378640776699028,12.378640776699028,60.0,57.0,0.20631067961165045,3.20125,3.20125,13.0,0.24625,0,0,0,0,1088.8433785071577,36.29477928357192,1602.8089677357264,595.2751756858501,62.228287363567304,84.98470948012232
