config_hash,task_pool_id,wireless_index,factor,value,distance_layer,n_users,mean_distance_m,offload_rate,mean_end_to_end_delay_seconds,mean_service_quality
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,10.0,near,34,192.37824117460568,0.23529411764705882,39.46430085093295,0.028747451688458325
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,10.0,middle,32,363.06749667333537,0.0625,43.39640814762761,0.02768926664449252
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,10.0,far,34,462.8383223737926,0.029411764705882353,45.61641209383176,0.024892533389948082
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,20.0,near,34,192.37824117460568,0.3235294117647059,38.05071366675801,0.03049597762638284
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,20.0,middle,32,363.06749667333537,0.09375,42.73737202291285,0.028154745578123072
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,20.0,far,34,462.8383223737926,0.029411764705882353,45.61030492541294,0.024895515506434675
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,40.0,near,34,192.37824117460568,0.3235294117647059,36.37971106253072,0.02971972297641141
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,40.0,middle,32,363.06749667333537,0.125,41.20274191697407,0.028370758503244616
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,bandwidth_mhz,40.0,far,34,462.8383223737926,0.058823529411764705,44.91720549270708,0.02529289140438539
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.1,near,34,192.37824117460568,0.2647058823529412,37.24040831946144,0.028632535581230908
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.1,middle,32,363.06749667333537,0.21875,38.13268027793998,0.02940711573782155
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.1,far,34,462.8383223737926,0.11764705882352941,43.296797160326314,0.026127279023664067
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.5,near,34,192.37824117460568,0.3235294117647059,38.05071366675801,0.03049597762638284
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.5,middle,32,363.06749667333537,0.09375,42.73737202291285,0.028154745578123072
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,0.5,far,34,462.8383223737926,0.029411764705882353,45.61030492541294,0.024895515506434675
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,1.0,near,34,192.37824117460568,0.2647058823529412,39.05180335469516,0.029380301573306705
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,1.0,middle,32,363.06749667333537,0.03125,43.953642472361,0.027155065244183735
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,image_payload_mb,1.0,far,34,462.8383223737926,0.0,46.58823529411765,0.02461924750813817
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.1,near,34,192.37824117460568,0.3235294117647059,38.0528553545784,0.030496202675330677
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.1,middle,32,363.06749667333537,0.09375,42.73740913673461,0.02815470443455194
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.1,far,34,462.8383223737926,0.029411764705882353,45.61039068641252,0.02489547343966057
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.2,near,34,192.37824117460568,0.3235294117647059,38.05071366675801,0.03049597762638284
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.2,middle,32,363.06749667333537,0.09375,42.73737202291285,0.028154745578123072
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.2,far,34,462.8383223737926,0.029411764705882353,45.61030492541294,0.024895515506434675
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.4,near,34,192.37824117460568,0.3235294117647059,38.0486445504691,0.030496685369111282
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.4,middle,32,363.06749667333537,0.09375,42.73734685014011,0.028154773538956398
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,uplink_power_w,0.4,far,34,462.8383223737926,0.029411764705882353,45.610259003458566,0.024895538033924535
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,0.5,near,34,192.37824117460568,0.3235294117647059,38.20521278636201,0.030670656806026535
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,0.5,middle,32,363.06749667333537,0.09375,42.7403362550491,0.02815145539812134
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,0.5,far,34,462.8383223737926,0.0,46.58823529411765,0.02461924750813817
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,1.0,near,34,192.37824117460568,0.3235294117647059,38.05071366675801,0.03049597762638284
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,1.0,middle,32,363.06749667333537,0.09375,42.73737202291285,0.028154745578123072
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,1.0,far,34,462.8383223737926,0.029411764705882353,45.61030492541294,0.024895515506434675
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,2.0,near,34,192.37824117460568,0.29411764705882354,37.530774242106524,0.029586188821292204
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,2.0,middle,32,363.06749667333537,0.09375,42.73246849170356,0.028160404391273597
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,downlink_power_w,2.0,far,34,462.8383223737926,0.058823529411764705,44.91957579124194,0.025290768633196074
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.0,near,34,192.37824117460568,0.29411764705882354,36.96550201691511,0.029240426097467798
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.0,middle,32,363.06749667333537,0.125,40.205299682108816,0.028031562749858942
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.0,far,34,462.8383223737926,0.058823529411764705,44.90527100551437,0.025300548092219804
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.5,near,34,192.37824117460568,0.3235294117647059,38.05071366675801,0.03049597762638284
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.5,middle,32,363.06749667333537,0.09375,42.73737202291285,0.028154745578123072
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.5,far,34,462.8383223737926,0.029411764705882353,45.61030492541294,0.024895515506434675
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.8,near,34,192.37824117460568,0.3235294117647059,38.211163996705814,0.0306688340265466
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.8,middle,32,363.06749667333537,0.0625,43.396484042367106,0.02768987870188669
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,path_loss_exponent,3.8,far,34,462.8383223737926,0.0,46.58823529411765,0.02461924750813817
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,10.0,near,34,181.1477272306262,0.20588235294117646,38.98218486361751,0.027825620405872935
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,10.0,middle,32,347.64365629269145,0.0625,47.3505375162114,0.025798364985366737
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,10.0,far,34,439.47163256855976,0.058823529411764705,44.11088407804387,0.02830446931636376
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,20.0,near,34,181.1477272306262,0.23529411764705882,37.91269806878397,0.02810794598610926
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,20.0,middle,32,347.64365629269145,0.125,46.05766658695802,0.02674829575233243
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,20.0,far,34,439.47163256855976,0.08823529411764706,43.12476239261813,0.02858682962044318
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,40.0,near,34,181.1477272306262,0.29411764705882354,36.887920579787696,0.02918387475195611
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,40.0,middle,32,347.64365629269145,0.15625,45.03159331587304,0.027063517267324262
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,bandwidth_mhz,40.0,far,34,439.47163256855976,0.08823529411764706,43.112364256406835,0.028594806815395356
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.1,near,34,181.1477272306262,0.17647058823529413,39.21115353818175,0.02733069979106291
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.1,middle,32,347.64365629269145,0.21875,42.72816981325819,0.02773595912256347
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.1,far,34,439.47163256855976,0.20588235294117646,40.474886329956995,0.030656769468910397
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.5,near,34,181.1477272306262,0.23529411764705882,37.91269806878397,0.02810794598610926
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.5,middle,32,347.64365629269145,0.125,46.05766658695802,0.02674829575233243
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,0.5,far,34,439.47163256855976,0.08823529411764706,43.12476239261813,0.02858682962044318
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,1.0,near,34,181.1477272306262,0.17647058823529413,39.4814361866183,0.027305626822506583
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,1.0,middle,32,347.64365629269145,0.0625,47.35228060962743,0.02579651297154985
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,image_payload_mb,1.0,far,34,439.47163256855976,0.058823529411764705,44.11357222834784,0.028302385572933395
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.1,near,34,181.1477272306262,0.23529411764705882,37.91487719591609,0.02810697359039763
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.1,middle,32,347.64365629269145,0.125,46.05771604227806,0.026748236305827212
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.1,far,34,439.47163256855976,0.08823529411764706,43.12487629476842,0.028586764946242082
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.2,near,34,181.1477272306262,0.23529411764705882,37.91269806878397,0.02810794598610926
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.2,middle,32,347.64365629269145,0.125,46.05766658695802,0.02674829575233243
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.2,far,34,439.47163256855976,0.08823529411764706,43.12476239261813,0.02858682962044318
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.4,near,34,181.1477272306262,0.23529411764705882,37.911047777297554,0.028108684394335257
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.4,middle,32,347.64365629269145,0.125,46.05763332352076,0.026748335997305892
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,1,uplink_power_w,0.4,far,34,439.47163256855976,0.08823529411764706,43.12469745167126,0.028586867219578264
