Scenario,Algorithm,J down,Gap (%) down,End-to-end delay (s) down,Energy (J) down,Violation rate (%) down,Runtime (ms) down
Resource-abundant,QDP-Oracle,245.21267045183623,1.1784030717938391e-15,43.26409175399405,7159.849670425287,0.0,11710.284630854148
Resource-abundant,WA-MCBR,245.23306413258922,0.00934293804524865,43.19156220234848,7125.329195289152,0.0,35.57489745551716
Resource-abundant,WA-MCBR-Swap,245.2209703236571,0.0042603334312084655,43.24799309181686,7151.94172290353,0.0,53.90234231250357
Resource-abundant,Capacity-aware Greedy,245.9254525520918,0.2976667185028032,43.06448564464893,7064.889395115492,0.0,15.521629217546385
Resource-abundant,Lagrangian/Primal-dual,248.27800717380276,1.255814432698978,43.64526215147073,7335.124947517271,0.0,35.53033743984993
Resource-abundant,Legacy,251.5988719988975,2.67454795521353,42.26793518991119,6641.953924013646,0.0,3.7074950616806257
Resource-abundant,Random,446.5796043088401,37.251349010392524,41.30097819684865,5335.905318271855,0.0,0.07977837231008929
Resource-abundant,All-local,265.8417339712919,8.293258372992458,49.0032,9800.64,0.0,0.0
Resource-abundant,All-offload,,,,104.7350456867942,100.0,0.0
Moderately constrained,QDP-Oracle,246.50715228846653,7.037240475207912e-15,43.6400930808323,7335.32608701663,0.0,1732.7271991828457
Moderately constrained,WA-MCBR,246.52507268866214,0.017073648438268443,43.604948428811255,7318.212587211077,0.0,27.765297484584107
Moderately constrained,WA-MCBR-Swap,246.51055500804623,0.010813056628962349,43.589759335915716,7311.1610858102085,0.0,46.18482245365154
Moderately constrained,Capacity-aware Greedy,247.04504350617802,0.2254548640025506,43.414651100358114,7228.063316279507,0.0,13.86290914611885
Moderately constrained,Lagrangian/Primal-dual,248.8688895020407,0.4263319848496944,43.01430663810476,7019.890891185379,0.0,9.057753358501891
Moderately constrained,Legacy,254.1924428528018,2.1097148816698086,44.193248358422004,7549.854495650853,0.0,2.162598283030052
Moderately constrained,Random,256.4649168355572,2.866610245755534,44.53845557351249,7702.7891699456495,0.0,0.378223378211212
Moderately constrained,All-local,265.8417339712919,7.697511059162684,49.0032,9800.64,0.0,0.0
Moderately constrained,All-offload,,,,104.7350456867942,100.0,0.0
Highly constrained,QDP-Oracle,251.83987629375395,3.4326328000332468e-15,45.677723428440586,8284.604898472153,0.0,298.75335176009685
Highly constrained,WA-MCBR,254.42923302416,1.2188594368190864,46.26457448812258,8547.244723463473,0.0,5.543261726852454
Highly constrained,WA-MCBR-Swap,251.14838186462435,0.19233403966884302,45.416122522917576,8162.4818523456415,0.0,35.79409506870429
Highly constrained,Capacity-aware Greedy,251.23132791625306,0.16403029955298506,45.17393317094014,8049.479614760366,0.0,7.454890059307166
Highly constrained,Lagrangian/Primal-dual,250.98507801751956,0.13009986473476995,45.36059690349929,8137.295367674646,0.0,9.959979080595025
Highly constrained,Legacy,254.4722067427395,1.2221073686789767,46.272137416681836,8550.557842386852,0.0,1.6436182684264522
Highly constrained,Random,254.33000104603406,1.2117604683821885,46.247525557745746,8539.684044327372,0.0,0.5060092220082318
Highly constrained,All-local,265.8417339712919,5.461919908514419,49.0032,9800.64,0.0,0.0
Highly constrained,All-offload,,,,104.7350456867942,100.0,0.0
