workload_capacity_fraction,memory_available_gb_config,memory_mode,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,quantized_oracle_gap_percent_n,quantized_oracle_gap_percent_mean,quantized_oracle_gap_percent_std,quantized_oracle_gap_percent_ci95_low,quantized_oracle_gap_percent_ci95_high,offload_rate_n,offload_rate_mean,offload_rate_std,offload_rate_ci95_low,offload_rate_ci95_high,workload_utilization_n,workload_utilization_mean,workload_utilization_std,workload_utilization_ci95_low,workload_utilization_ci95_high,memory_utilization_n,memory_utilization_mean,memory_utilization_std,memory_utilization_ci95_low,memory_utilization_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high,barrier_penalty_n,barrier_penalty_mean,barrier_penalty_std,barrier_penalty_ci95_low,barrier_penalty_ci95_high,rejections_workload_n,rejections_workload_mean,rejections_workload_std,rejections_workload_ci95_low,rejections_workload_ci95_high,rejections_memory_n,rejections_memory_mean,rejections_memory_std,rejections_memory_ci95_low,rejections_memory_ci95_high,rejections_cost_n,rejections_cost_mean,rejections_cost_std,rejections_cost_ci95_low,rejections_cost_ci95_high
0.2,1.5,hard,50,50,255.99821516851895,16.26988668677256,251.37436453286637,260.62206580417154,50,0.9097493118019224,0.5481992724394424,0.753952802389586,1.0655458212142588,50,0.0622,0.006157789160643519,0.06044997568373942,0.06395002431626058,50,0.42540685986425475,0.022751734039991218,0.4189408885930141,0.4318728311354954,50,0.9598333333333333,0.03290283227751203,0.9504824518631609,0.9691842148035057,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.76,0.6246631745450127,93.58247269005034,93.93752730994967,50,0.02,0.14142135623730948,-0.020191504742584774,0.06019150474258478
0.2,1.5,none,50,50,252.19452889102143,14.511323918614137,248.07045626427131,256.3186015177715,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5572096174008397,0.06303246660413075,0.5392959885978061,0.5751232462038733,50,1.2605666666666666,0.13283873400368085,1.2228143161747869,1.2983190171585464,50,0.0,0.0,0.0,0.0,50,1.0,0.0,1.0,1.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,1.5,soft,50,50,256.70221453349427,16.542324956574916,252.00093779824715,261.4034912687414,0,,,,,50,0.048799999999999996,0.004797958749641905,0.047436435210553546,0.050163564789446446,50,0.3390081373724745,0.030468380871098873,0.33034911933686195,0.347667155408087,50,0.7618,0.05425238116136475,0.7463816438707844,0.7772183561292156,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.9631692679533294,0.4614350444246229,0.8320308793123191,1.0943076565943395,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,95.12,0.47979587496419046,94.98364352105536,95.25635647894465
0.2,2.0,hard,50,50,253.84355557888443,16.054519050445208,249.2809117482516,258.4061994095172,50,0.5445177302507789,0.672620789556498,0.3533610169177671,0.7356744435837906,50,0.07700000000000001,0.00677630927178938,0.07507419421309092,0.07892580578690911,50,0.5358641900820955,0.04046869442806558,0.5243631143796217,0.5473652657845693,50,0.9069125,0.05349092314045784,0.8917105478459181,0.9221144521540819,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,70.2,32.17807594354534,61.05509200094163,79.34490799905838,50,22.1,32.379919451312254,12.897728710732041,31.302271289267964
0.2,2.0,none,50,50,252.19706220446164,14.513622541391161,248.07233631634634,256.321788092577,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5572096174008397,0.06303246660413075,0.5392959885978061,0.5751232462038733,50,0.9454249999999998,0.09962905050276065,0.91711073713109,0.9737392628689097,50,0.0,0.0,0.0,0.0,50,0.34,0.4785181206984064,0.2040066547997868,0.47599334520021325,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,2.0,soft,50,50,253.84042568242984,15.298672203196896,249.49259114902134,258.18826021583834,0,,,,,50,0.06039999999999999,0.006375975315548972,0.058587967864602575,0.0622120321353974,50,0.42991533882540195,0.03968563133171645,0.4186368071925653,0.4411938704582386,50,0.7258875,0.052697195557665666,0.7109111227290679,0.7408638772709322,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.8905681958117415,0.4108955203309549,0.7737929809964024,1.0073434106270807,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,93.96,0.6375975315548971,93.77879678646025,94.14120321353974
0.2,3.0,hard,50,50,252.19950552376793,14.47404164163415,248.08602840290123,256.3129826446346,50,0.06043394451555775,0.059206112907734754,0.0436077534010544,0.07726013563006111,50,0.07880000000000001,0.00961291648072041,0.0760680393640362,0.08153196063596382,50,0.5566866993977583,0.06270633162602286,0.5388657571299701,0.5745076416655465,50,0.6292,0.06657784474155677,0.6102787858787666,0.6481212141212334,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.12,0.9612916480720413,91.84680393640362,92.39319606359639
0.2,3.0,none,50,50,252.2064926776939,14.502790202908216,248.0848453061131,256.3281400492747,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5579782258150792,0.06230662994413242,0.5402708775084206,0.5756855741217377,50,0.6306083333333333,0.06604263690568223,0.6118392235960922,0.6493774430705744,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,3.0,soft,50,50,252.3901980720852,14.5313463445474,248.26043513484547,256.51996100932496,0,,,,,50,0.07440000000000001,0.00884330716602409,0.07188675991123311,0.0769132400887669,50,0.5280432168880766,0.04853187542767279,0.5142506105002216,0.5418358232759317,50,0.5959416666666666,0.05301007543922725,0.5808763699172468,0.6110069634160864,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.3929086966483715,0.1992926397500512,0.33627035510796366,0.4495470381887794,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.56,0.8843307166024094,92.30867599112331,92.8113240088767
0.2,5.0,hard,50,50,252.20666898744236,14.50258866026253,248.0850788936477,256.328259081237,50,0.06285387890674266,0.08395487221940358,0.03899416821844236,0.08671358959504295,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5579782258150792,0.06230662994413242,0.5402708775084206,0.5756855741217377,50,0.37836499999999995,0.03962558214340935,0.3671035341576553,0.3896264658423446,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,5.0,none,50,50,252.20666898744236,14.50258866026253,248.0850788936477,256.328259081237,0,,,,,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5579782258150792,0.06230662994413242,0.5402708775084206,0.5756855741217377,50,0.37836499999999995,0.03962558214340935,0.3671035341576553,0.3896264658423446,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
0.2,5.0,soft,50,50,252.26085115079147,14.518498518924122,248.13473952519382,256.3869627763891,0,,,,,50,0.07780000000000001,0.009538322275784912,0.07508923880251706,0.08051076119748296,50,0.5541443682864067,0.06058743331168797,0.5369256102566677,0.5713631263161456,50,0.3756999999999999,0.03897235414694758,0.36462417950017145,0.3867758204998284,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.06773412255155518,0.02758565731530102,0.05989436548576386,0.07557387961734652,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.22,0.9538322275784913,91.9489238802517,92.4910761197483
0.2,13.0,hard,50,50,252.2012171516278,14.517929085737666,248.07526735715115,256.32716694610446,50,0.0611021736573227,0.08289523873179418,0.03754360747417896,0.08466073984046643,50,0.0786,0.009691148917798072,0.07584580595142094,0.08135419404857906,50,0.5576015226060395,0.06158272050855875,0.5400999070846346,0.5751031381274443,50,0.145525,0.014978918008116517,0.1412680386033649,0.14978196139663508,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,92.14,0.9691148917798074,91.8645805951421,92.4154194048579
