error_magnitude,q_error_sign,v_error_sign,protection,independent_instances,objective_degradation_percent_n,objective_degradation_percent_mean,objective_degradation_percent_std,objective_degradation_percent_ci95_low,objective_degradation_percent_ci95_high,strategy_change_rate_n,strategy_change_rate_mean,strategy_change_rate_std,strategy_change_rate_ci95_low,strategy_change_rate_ci95_high,true_workload_violation_n,true_workload_violation_mean,true_workload_violation_std,true_workload_violation_ci95_low,true_workload_violation_ci95_high,true_memory_violation_n,true_memory_violation_mean,true_memory_violation_std,true_memory_violation_ci95_low,true_memory_violation_ci95_high
0.05,-1,-1,conservative_quantization,50,50,0.07380492462256667,0.2650149828980155,-0.0015115001763039565,0.1491213494214373,50,0.0086,0.011067510827569465,0.005454648224639815,0.011745351775360185,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,-1,-1,fixed_margin,50,50,0.0004246284714977984,0.018685568530853684,-0.004885751348120784,0.00573500829111638,50,0.0136,0.014251387329531344,0.009549800534495504,0.017650199465504494,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,-1,-1,no_margin,50,50,0.0011813973544274482,0.014349455956416257,-0.0028966729064605233,0.00525946761531542,50,0.0126,0.01242282297274838,0.009069472774764796,0.016130527225235204,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,-1,1,conservative_quantization,50,50,0.2503208456295822,0.5603027920517022,0.0910845540030106,0.4095571372561537,50,0.017200000000000003,0.022409910344145804,0.010831173948252537,0.02356882605174747,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,-1,1,fixed_margin,50,50,0.00236517453300813,0.018940691553155538,-0.0030177104473132054,0.007748059513329466,50,0.013800000000000002,0.015238244046892445,0.009469338958596644,0.01813066104140336,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,-1,1,no_margin,50,50,0.0009036058827334502,0.012178219178979377,-0.0025574057134702777,0.004364617478937178,50,0.011000000000000001,0.011649647450214351,0.0076892068270152355,0.014310793172984768,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,1,-1,conservative_quantization,50,50,0.026725776849601753,0.08957400939151049,0.0012691250463894958,0.052182428652814014,50,0.0128,0.014291427429028343,0.008738421264124722,0.01686157873587528,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,1,-1,fixed_margin,50,50,0.016278163439575482,0.026204807959895444,0.008830839418503725,0.02372548746064724,50,0.013199999999999998,0.012027180102770964,0.009781913234311681,0.016618086765688315,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,1,-1,no_margin,50,50,0.0018739008719802226,0.01997236851233242,-0.003802183456026579,0.007549985199987025,50,0.0138,0.014831020992280654,0.00958507047020268,0.01801492952979732,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
0.05,1,1,conservative_quantization,50,50,0.11395708776940967,0.2858681249786432,0.03271426556401896,0.19519990997480038,50,0.0152,0.014602208387635016,0.011050098292940756,0.019349901707059244,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0
