n_nodes,algorithm,independent_instances,public_objective_J_n,public_objective_J_mean,public_objective_J_std,public_objective_J_ci95_low,public_objective_J_ci95_high,updates_n,updates_mean,updates_std,updates_ci95_low,updates_ci95_high,runtime_seconds_n,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_ci95_low,runtime_seconds_ci95_high,signaling_total_bytes_n,signaling_total_bytes_mean,signaling_total_bytes_std,signaling_total_bytes_ci95_low,signaling_total_bytes_ci95_high
30,legacy_count_br,10,10,69.87598981230194,1.109757159599739,69.08211736421227,70.66986226039161,10,96.0,19.79898987322333,81.83665586259649,110.16334413740351,10,0.0007439083070493699,0.00013411193799589254,0.0006479704060285282,0.0008398462080702117,10,0.0,0.0,0.0,0.0
30,wa_mcbr,10,10,68.50052686092808,0.9460043203115988,67.82379613729837,69.17725758455778,10,180.5,50.77017934881766,144.18120158455667,216.81879841544333,10,0.00889873341657217,0.0023451053473161274,0.007221146111099394,0.010576320722044947,10,21299.0,5990.881163160484,17013.38178697769,25584.61821302231
50,legacy_count_br,10,10,116.5804535113571,4.285249594201819,113.51497062026111,119.6459364024531,10,188.9,45.792891248412005,156.14173900027546,221.65826099972455,10,0.00137648747768249,0.00031358371222649494,0.0011521632035358066,0.0016008117518291733,10,0.0,0.0,0.0,0.0
50,wa_mcbr,10,10,113.42730022290405,1.2767479321040853,112.51396977246706,114.34063067334104,10,346.8,104.68237674030907,271.91473886354675,421.6852611364533,10,0.01692576240748163,0.004843499416264293,0.013460931650906473,0.020390593164056784,10,40922.4,12352.520455356469,32085.93918589852,49758.860814101485
80,legacy_count_br,10,10,190.34522484025433,1.8539271864224143,189.01900522424754,191.67144445626113,10,394.6,79.5406255388472,337.70006421415314,451.4999357858469,10,0.0029310417245141706,0.0005806083502615515,0.0025156995314800728,0.0033463839175482684,10,0.0,0.0,0.0,0.0
80,wa_mcbr,10,10,186.7757462315187,1.3170489533101564,185.83358616724357,187.71790629579382,10,645.2,83.62322909601401,585.3795455651214,705.0204544348787,10,0.03196682487614447,0.003739028658895752,0.02929208490331507,0.03464156484897386,10,76133.6,9867.541033329653,69074.78637668432,83192.41362331569
100,legacy_count_br,10,10,234.37241574758045,2.4376890478178157,232.62859805257185,236.11623344258905,10,530.6,95.94813413737884,461.9628396281305,599.2371603718695,10,0.00424677910050373,0.0005776082717085376,0.0038335830343810386,0.004659975166626422,10,0.0,0.0,0.0,0.0
100,wa_mcbr,10,10,230.20884900473158,1.4807472592498951,229.14958622680385,231.2681117826593,10,879.6,187.6481340760473,745.3646113928737,1013.8353886071263,10,0.04792824171017851,0.011235093376992699,0.03989114007352292,0.0559653433468341,10,103792.8,22142.47982097358,87953.0241443591,119632.57585564091
150,legacy_count_br,10,10,361.5636234533231,1.719779442237598,360.33336735254164,362.79387955410454,10,743.4,144.89168368129347,639.7507334583087,847.0492665416913,10,0.006127454002853441,0.0012195112022231741,0.00525506824241295,0.006999839763293931,10,0.0,0.0,0.0,0.0
150,wa_mcbr,10,10,356.03907779941915,1.1271866516667655,355.2327370438114,356.84541855502687,10,1101.4,243.9144658823389,926.9141023606117,1275.8858976393885,10,0.05970734161091964,0.012401413661702564,0.050835904704002566,0.06857877851783671,10,129965.2,28781.90697411599,109375.86407855216,150554.53592144782
200,legacy_count_br,10,10,494.67532755733293,1.7415801217280775,493.42947618992275,495.9211789247431,10,1136.3,222.81434723404445,976.9082179528423,1295.6917820471576,10,0.00905599968973543,0.0016174801678377514,0.007898924081373515,0.010213075298097346,10,0.0,0.0,0.0,0.0
200,wa_mcbr,10,10,488.0714083080305,1.1859388562198365,487.22303875715374,488.9197778589073,10,1708.4,524.6501903384981,1333.0878631132584,2083.7121368867415,10,0.09260314170969645,0.030212365943895557,0.07099051708548385,0.11421576633390906,10,201591.2,61908.722459942765,157304.3678473645,245878.0321526355
