config_hash,task_pool_id,wireless_index,wireless_seed,workload_capacity_fraction,memory_available_gb_config,memory_mode,quantized_objective,continuous_objective_of_quantized_strategy,k_offload,delta_q,delta_v_gb,states_created,states_pruned,pruning_rate,peak_live_states,peak_python_memory_mb,runtime_seconds,claim
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,1.5,hard,235.71337173052615,235.63994601469702,5,0.1,0.1,4000,3428,0.857,69,0.03520393371582031,0.23374229192268103,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,2.0,hard,234.89914910929355,234.66184630614543,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.026041030883789062,0.24106745794415474,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,3.0,hard,234.89914910929355,234.66184630614543,7,0.1,0.1,15623,12459,0.7974780771938809,122,0.03646278381347656,0.5400067500304431,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,5.0,hard,234.89914910929355,234.66184630614543,7,0.1,0.1,26061,19921,0.7643989102490312,160,0.04377555847167969,1.0639393749879673,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.2,13.0,hard,234.89914910929355,234.66184630614543,7,0.1,0.1,26061,19921,0.7643989102490312,160,0.03684806823730469,1.0834395420970395,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.4,1.5,hard,235.22195446589222,235.20030137056858,5,0.1,0.1,4000,3428,0.857,69,0.016656875610351562,0.23391591699328274,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.4,2.0,hard,233.65024012892286,233.59720666789443,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.020601272583007812,0.29268287494778633,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.4,3.0,hard,231.9454894560227,231.79863802436435,10,0.1,0.1,15623,12459,0.7974780771938809,122,0.029649734497070312,0.5459790410241112,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.4,5.0,hard,231.82385357967573,231.63073652867334,11,0.1,0.1,41466,30491,0.7353253267737423,202,0.05243492126464844,1.5758777499431744,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.4,13.0,hard,231.82385357967573,231.63073652867334,11,0.1,0.1,111193,75705,0.6808432185479302,336,0.10011100769042969,3.7296044169925153,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.6,1.5,hard,235.10680181606813,235.09436412193736,5,0.1,0.1,4000,3428,0.857,69,0.016687393188476562,0.15932329196948558,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.6,2.0,hard,233.4063207723207,233.37764664295528,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.020631790161132812,0.2533563750330359,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.6,3.0,hard,231.23312774869086,231.16530213798225,10,0.1,0.1,15623,12459,0.7974780771938809,122,0.029680252075195312,0.5232934999512509,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.6,5.0,hard,230.20713178459317,230.02051763123038,15,0.1,0.1,41466,30491,0.7353253267737423,202,0.04591941833496094,1.301628291956149,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.6,13.0,hard,230.20713178459317,230.02051763123038,15,0.1,0.1,237779,147851,0.6218000748594283,468,0.13364601135253906,7.1733597500715405,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.8,1.5,hard,235.05540885238497,235.04671564490846,5,0.1,0.1,4000,3428,0.857,69,0.016687393188476562,0.15835416701156646,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.8,2.0,hard,233.30236709553807,233.28285011014867,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.020631790161132812,0.2275336249731481,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.8,3.0,hard,230.96265492675485,230.91934873610754,10,0.1,0.1,15623,12459,0.7974780771938809,122,0.029771804809570312,0.5186934580560774,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.8,5.0,hard,229.24037244396345,229.11709991391677,16,0.1,0.1,41466,30491,0.7353253267737423,202,0.04591941833496094,1.3419776660157368,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,0.8,13.0,hard,229.2147627895269,229.0707335856941,17,0.1,0.1,294111,178306,0.6062541013426903,473,0.11196708679199219,8.513646874926053,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,1.0,1.5,hard,235.02630211380608,235.0196278548035,5,0.1,0.1,4000,3428,0.857,69,0.016687393188476562,0.15377162501681596,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,1.0,2.0,hard,233.24476526720474,233.23000247492058,7,0.1,0.1,6211,5283,0.8505876670423442,82,0.020631790161132812,0.21794324996881187,quantized_global_optimum_not_continuous_global_optimum
06ac6393eee7a87a46f65b36cf9d1863821846f32cd08b7f9dd84710f2fa08a1,1,0,20270729,1.0,3.0,hard,230.82024183507065,230.78860079314978,10,0.1,0.1,15623,12459,0.7974780771938809,122,0.029794692993164062,0.49379158404190093,quantized_global_optimum_not_continuous_global_optimum
